product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56,209,1,1800,40,10,30
36555a2f528d7b2a255c504191445d39,beleza_saude,51,1069,1,1467,23,16,20
a3a03c131926ec14d4c9f3ef03016b24,pet_shop,54,463,1,700,40,20,20
0992c6cba95a13bfa68ea7d5e22d478b,ferramentas_jardim,42,671,1,3850,29,12,24
a2e2851eae0aebb8ee4df32348b42e2b,informatica_acessorios,59,504,3,367,16,4,11
1eb4a9aee05c9cad041e09add2a26d68,malas_acessorios,51,244,1,800,38,8,28
ac5bae85a895724330c4acddd581b02b,telefonia,50,1254,2,500,16,15,11
16b06ede456b922e56fbb4b3818aa875,fashion_bolsas_e_acessorios,48,382,5,200,16,9,11
828fe032935d7c1901682e5b6cc076c2,perfumaria,48,1063,2,600,20,20,20
75b433ca888fe027b18dfac89a284667,eletronicos,37,374,1,1350,33,12,26
9aa70106d14b83c7ad033592870b2b30,utilidades_domesticas,22,388,3,530,17,20,20
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45,1003,2,400,18,11,11
6e9c52b407fea24064f7ab2b144fbf8c,bebes,56,1395,7,13575,71,81,44
582dfc3697c5f834a5ddf28460ba9222,fashion_bolsas_e_acessorios,59,251,1,300,25,10,25
6a61a5d77a8571a0646e8c0f75f572f4,beleza_saude,53,1368,6,360,30,19,22
98190f6a2c3253d07ca86525bb238162,eletronicos,25,813,1,1836,61,6,24
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53,579,1,675,22,24,21
25cdef5b1428725aa16b8b9a6fbd72ca,industria_comercio_e_negocios,58,1058,1,1200,30,20,30
3c883b9d3fd2d0ce448d4136349dc0a4,cama_mesa_banho,49,153,1,550,23,15,23
3519403062e217f433e0bbdc52e0b19f,consoles_games,25,211,1,200,16,2,16
b6b4ab44d1f3c2a645abbda76af2a993,relogios_presentes,54,364,1,1050,30,45,11
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
4bae12e58c9b828e1302a2cad437b80a,consoles_games,47,358,3,450,17,7,17
2e511b5741ab14e7f5294df6f1310b03,informatica_acessorios,52,2515,1,188,20,16,15
2029248294c186017ecfc48cecd47bbd,ferramentas_jardim,44,586,3,3250,32,14,22
b0cd550945da1de6eb9cb69595d540df,esporte_lazer,55,1392,1,900,16,16,16
e5d860a0fff2e94bd1a406456cc6c4b3,eletrodomesticos_2,38,2030,2,13200,66,19,67
7683fe3e73bd7af6d0f6a6ed497cb04a,construcao_ferramentas_iluminacao,49,527,4,1450,60,5,30
1dfb36d969d347f56f43590ec42c7b8c,esporte_lazer,50,1212,5,900,26,6,13
e24f73b7631ee3fbb2ab700a9acaa258,fashion_bolsas_e_acessorios,60,1118,6,2250,22,15,20
0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45,561,2,553,18,9,15
334995514673fb6bae67885458b52984,utilidades_domesticas,37,261,2,250,25,25,25
c23381297fa734ea441a15d723199fb5,informatica_acessorios,60,789,4,200,20,20,20
09c3d39641970009c198caed304ccfc4,bebes,52,1659,1,300,68,7,13
c5c66926b3f964b8cf9e7dfb1150d13e,esporte_lazer,41,128,1,200,21,9,13
62224b433a431310bf27129938ad9f64,esporte_lazer,28,733,6,700,49,12,27
b2083bcfc8768380dd0e31d612e96d08,cama_mesa_banho,53,628,2,1100,16,10,16
629beb8e7317703dcc5f35b5463fd20e,,,,,1400,25,25,25
f159439c5c382fae366d444e05c590c1,perfumaria,52,365,1,400,18,18,12
2043cae78c8b731c405c7329a05154b2,eletroportateis,52,640,3,750,30,30,30
1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,21,769,4,1600,55,37,30
28f71b48a5f99f0bcf4642ae10352557,relogios_presentes,42,431,2,500,17,22,17
4e80e5fbd1f7a5e67501d0e1573abf98,relogios_presentes,51,393,1,300,19,13,13
f102842fbe436027eeeb7fc76d3063aa,consoles_games,59,434,3,350,20,20,20
743faa1bbabdf4abcbd2443fcc33fca9,utilidades_domesticas,41,687,2,950,27,30,27
d24659126d5bbd0b1bacba3e8d17a978,esporte_lazer,32,513,3,250,16,6,20
593236d0ff46b4299b4787fb8d43f7f0,industria_comercio_e_negocios,44,1396,2,7225,16,103,25
c20fbbd4ccf2f7da70e150689a6a905f,perfumaria,47,723,1,455,21,15,17
386486367c1f9d4f587a8864ccb6902b,cama_mesa_banho,54,120,1,835,40,9,33
b3bcd6f54c943fecf8f51e0b988e5cc9,beleza_saude,46,1969,1,683,31,16,16
0eb8e03d4ef83152c4642b606b5bbdec,moveis_decoracao,47,348,1,2900,40,10,35
9fa0c72476690fbc66bcacc498fe7fd6,informatica_acessorios,34,1122,2,100,18,11,14
3e12358032a6a599d25d9fd630cec2e1,utilidades_domesticas,52,1301,1,975,31,12,21
5657897eec3381c5a9aaf19be83f16e2,cool_stuff,35,377,2,500,19,17,25
73c15f15e628e4ec389e0ed1cec48b15,cool_stuff,45,3033,5,12400,35,35,50
121b9686b9929855d823981fc655a6fe,utilidades_domesticas,55,747,1,6250,53,23,28
01cf8c7364048b4b6ed0fe400667054d,brinquedos,42,241,1,1200,30,16,20
233ad2cdae25fbf46f0d090b678d23f4,market_place,53,213,3,775,35,9,15
72bb19eb8886399d5a46785146792ba7,utilidades_domesticas,59,889,2,250,20,5,16
5b4341a1e617e4d33c3305158ff03c69,esporte_lazer,36,1581,1,150,18,7,14
b7f70c625521ad94f77e9aa1218fd9fa,pet_shop,60,1614,1,2900,83,82,12
