order_id,payment_sequential,payment_type,payment_installments,payment_value
0f286dcb49da58061b9ae488027e4033,2,voucher,1,50.00
a31768d1614db23dfc711f738b2b774f,1,credit_card,8,165.67
d21d7411b251f35ead1b210dc946ca70,7,voucher,1,48.85
56142b6c34c40cccb3e3ee8308a4ae76,3,voucher,1,9.15
5bc488a3de801a774218a89c00b5db30,1,boleto,1,86.58
3171f1efdad00e249ba4ba19af1726eb,1,credit_card,7,149.31
aba3d283b846a03d398d549db17b649a,1,boleto,1,26.78
785e849a702dab4672f0febcf4c1afc5,1,credit_card,6,143.42
8c3ef96e828b5894ec632ba10985867d,1,credit_card,3,158.74
00169e31ef4b29deaae414f9a5e95929,1,boleto,1,55.11
62a303159c09b65c288433ea06a99600,1,credit_card,10,251.17
519e8e134cd15d39544f56d9ff932d3e,1,credit_card,1,51.22
0b9bb234d95f41600497d59b42087c39,1,boleto,1,219.38
ab588e77cdbcc3d63e479ba2862256a5,1,credit_card,1,183.89
247d40d57494c99a2d2112878041d45e,1,boleto,1,52.37
0f286dcb49da58061b9ae488027e4033,1,credit_card,1,7.68
1466219eb36318493e16297ec7a2d87a,1,credit_card,1,64.10
e8253edb8afd8c06fed540435eac942d,1,boleto,1,60.31
b2d779a12592e693ae93fcba3b3969be,1,boleto,1,207.28
0b50495c5cfeda8c9d7abfe80aea74e4,1,credit_card,5,57.22
5433a0ef395e151f154279cd3fcde661,1,credit_card,6,158.45
cebfb93d43892425be3fe47edbb54347,1,credit_card,4,237.94
85df9618973ec5807b30a864e352599f,1,credit_card,3,76.58
14130f70a2038f80f97d9fcc6e590ba8,1,credit_card,10,269.75
482c3ed0fe2eb68b316507e78faa6783,1,credit_card,4,135.56
de86df6ab3b291975266e6ebf8da2bf3,1,credit_card,1,78.91
3830b3dc35d6b2cb26c3cbeb0eafd799,1,credit_card,1,404.43
dd7e0efbe1cde6192eff0ea57a7b2888,1,credit_card,1,125.88
841a78e6ae7179553c784f4a69955d5b,1,credit_card,2,109.18
b26aeba3d93317ee71f2902c276eb992,1,credit_card,3,84.12
2c316630a424abef517f1f8d7295d666,1,credit_card,2,114.18
033a79557b0d234035b38da3be948574,1,credit_card,5,59.35
8bcbe01d44d147f901cd3192671144db,3,voucher,1,6.25
64c61c97b53cc497fd3bf4887d7bbf8c,1,boleto,1,61.05
b5a290773b1946d7fd79425b488b0e8b,1,credit_card,4,208.07
e1faf9211232539926d65299a9067f98,1,credit_card,5,218.78
a10025dad19bcbddfb29902513f39ca3,1,boleto,1,114.90
34a9a98676d240a885b690f92ef1b430,1,credit_card,8,186.72
6f433e1b5764eb255869aedbee1b9d72,1,credit_card,6,162.35
6b0e4ed8dcbabec5410a8b28f0405cd6,1,boleto,1,180.85
5dbd736e8af7fa0c1c7528c53b2d2f5c,1,voucher,1,37.89
1f1f6cb06f69d4d020c56d12c8943240,1,credit_card,1,37.77
b9a703ce4f5ae752f1ea894775d250ff,1,credit_card,2,140.68
