customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
de62761e79f4ae4169cab45ed5f36026,6f19cd82c9d4d5b80bd8fbd24e600576,78135,varzea grande,MT
194bfa6e3a7191e554f24e92d2651ce4,fd6903dff2b9940dc1626ad81049a6a9,18081,sorocaba,SP
4b11226427fb245d9d0cb91d0a339e81,4acc5c94cdac604d8034f5d5ad50b323,67110,ananindeua,PA
27c98b58cd9c685c41301f06ecc8cf7f,d7863a2b6a0ef60e48cdee8437c4c197,04302,sao paulo,SP
f4dc86377b4afaceaed1e4c19ecee415,98f089baf25ca5c195c8d56223432627,11730,mongagua,SP
d1c60f60819bef9ec9b29e681b84ded4,156b627048609063d0a85774fce17b3d,76450,minacu,GO
1c9b6c0b6dd182d22114cebfb353d8a0,48e450ed67c07fac7ec5201d42f81fa1,26167,belford roxo,RJ
4d4bde88cd76a51d67a333a252746c6e,ef238db8c33ce868edce2ae8efb4e64e,13283,vinhedo,SP
7a0587a22e604b216a8ef5c8ce07d7fe,3857428967edc9647b8af374c0d78dfb,86020,londrina,PR
a979b3cbd898fd8be91a290a667fd0d4,741996aa586218efdc5169365507510d,12247,sao jose dos campos,SP
ee3c35dc65342f759c109af645da0163,3ae2dc07ed3ebb93b0f6c47bfdea45bf,83206,paranagua,PR
502b5f99cc5ae83a33d23ec900e76a3d,4bfdc85625e24bc269329cd2ca2bb30c,13471,americana,SP
ab7d67572040ac842951475610557d96,edbdd3649ed92048f7585873507282be,41830,salvador,BA
d0b19458cf51e7e8db284742e3f1d96d,40480b822a64c501298bcd915a4d141c,36010,juiz de fora,MG
58e9cc6f523e29753c2a494f136953ab,1c4bd502214353877e577ecfac7bd79a,02209,sao paulo,SP
7bcba019e4d8bf4e23f5b6e15bc50d3d,bf12dd43e2ae8a45b393a042fe552231,18570,conchas,SP
a181bd684a472be2dd926e551a50677a,bf987f9a2a87fe933fcc5302fbfc6032,31255,belo horizonte,MG
