order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
0e05c0027e31a0a9cf1074ec1b95c8da,1,2ebf71f199b0f3f3331af7d426ad714c,4c18691b6037662be2df78a765d98ab5,2018-04-04 22:47:21,39.95,17.93
0e2fe4a9435f66fade2904a904a0adaa,1,3a58b2c6aa002adafb77ac772f768975,a3a38f4affed601eb87a97788c949667,2017-03-07 21:02:17,42.90,15.56
0e3737a398f635ed0c0957a0320781ec,1,b86342c63a6cf10c0bd92517b1a592bc,080199a181c46c657dc5aa235411be3b,2018-01-11 13:07:18,179.49,9.45
0e4160cbbf3110c620fe17602e306360,1,4e27772a66624ce9308a0eb8b989ebe7,1336efc61c316ddf92c899eb817f7cae,2017-05-11 10:10:12,29.00,20.80
0e4b26f1fb99fc0f0472dd5f403d36d4,1,e71f3cd0a0ef69b7fd173b32322dc6da,520b493b57809f446cb0a233bb3e25c7,2017-11-09 16:30:29,28.00,9.94
0e54e7e8b39dfc550dfab97b23c7b582,1,386eebb43722ab502f04f7900bd2451b,8b28d096634035667e8263d57ba3368c,2018-05-22 12:15:14,57.90,12.85
0e6f08a9522bf9b1287fb24ab250dd81,1,1d1021f2e10ec199e91f5a80355fdaf5,d91fb3b7d041e83b64a00a3edfb37e4f,2018-08-19 22:45:20,166.29,9.85
0e784a85d6f7aa0ffe9a41d81f5a4ecf,1,1613b819ab5dae53aead2dbb4ebdb378,16090f2ca825584b5a147ab24aa30c86,2018-08-06 05:15:25,27.90,7.46
0e7a304b49a353318a2ea193bfb5523e,1,df73a8f4ff200bb4571bbb961c6f6987,db4350fd57ae30082dec7acbaacc17f9,2017-06-29 14:35:19,14.99,11.85
0e81d9aa94c69d14faa155f1a91ed4ff,1,af9c4277d06aa18aabbfebbe94ee9c79,066a6914e1ebf3ea95a216c73a986b91,2017-10-04 23:28:29,159.99,21.61
0e83ca298ee53c0b92b5d46350262470,1,44afebe5ba695261a126f43a4b29d814,520b493b57809f446cb0a233bb3e25c7,2017-05-22 16:15:18,90.00,12.58
0e889e74cffcea6930673d6011321633,1,a5341e3f8155dbb3e62323d3ea289729,ff063b022a9a0aab91bad2c9088760b7,2017-12-11 10:48:17,93.00,16.28
0e8bbbedc5dffd859a8386d68d138c10,1,30469bb5ea377eae7121981e2f0778e4,80e6699fe29150b372a0c8a1ebf7dcc8,2017-10-19 13:14:31,113.00,36.81
0eb7dc4e9168fd2e3bc791983492d99a,1,9fe172fa8e662ca8572cf12abf8bce23,cab85505710c7cb9b720bceb52b01cee,2018-07-12 12:55:27,49.90,7.61
0eca09e82535e22a903c3653b2c7eae4,1,8317b177579dd27ff068b83205e2169b,4869f7a5dfa277a7dca6462dcf3b52b2,2018-06-11 17:30:24,157.00,18.98
0ecd7312b4a222a3a86590e46f1c2b90,1,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2017-08-07 21:05:10,119.99,23.42
0ecd7312b4a222a3a86590e46f1c2b90,2,a9516a079e37a9c9c36b9b78b10169e8,7c67e1448b00f6e969d365cea6b010ab,2017-08-07 21:05:10,119.99,23.42
0ef549b2d7f694d7da546831e4003906,1,f7593a67d835f31ec38049706456b6f5,e70053bf73d1b5863932e53a9fa47496,2018-06-21 15:17:20,689.00,24.01
0ef7129ab98149bcbd4aadde9ba093d9,1,97722a15d9ccbf90ef47621baa79b87f,1da3aeb70d7989d1e6d9b0e887f97c23,2018-07-13 03:35:20,19.99,12.80
0efd0bc268d34da3f01f4ff25a6d4335,1,6dab56beb5263f0d554cae5c55809208,f4aba7c0bca51484c30ab7bdc34bcdd1,2016-10-11 16:12:23,39.70,24.70
0f0da37d4b99bfd602829ae5992b2d57,1,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,2017-06-01 10:55:09,89.00,30.46
0f286dcb49da58061b9ae488027e4033,1,b761e337aed465b70aa4bf86f1b12f2d,0be8ff43f22e456b4e0371b2245e4d01,2018-01-29 13:18:22,49.90,7.78
0f30693cac68f8597594c35a1dc38a8e,1,36f60d45225e60c7da4558b070ce4b60,88460e8ebdecbfecb5f9601833981930,2018-03-04 21:09:09,67.90,15.23
0f7f3fcd5523d759e8e17084e45439d5,1,c4fa0206ee58c2694c9642e6483b576a,cd68562d3f44870c08922d380acae552,2017-07-27 02:23:54,108.00,34.56
0f914d0786d04db3fe3dfb23cfe60aeb,1,fecf6223a3494f35362f670e571d2a04,3db66a856d18a9cba7c9241fc5221c50,2017-12-11 09:55:32,69.90,17.74
0fa05bb83efc10205ac8f4224f10c336,1,622bad99b4296aade0783ebecdd3fa15,376a891762bbdecbc02b4b6adec3fdda,2018-05-03 16:52:49,98.99,48.60
0fa97c6a14424f633800d5cb622a6bb4,1,a91c1a94d83d36316c44e00e738607b1,634964b17796e64304cadf1ad3050fb7,2018-05-04 13:31:08,90.00,19.32
0fe71fb21be89a6d57f98ae7c65d80cb,1,a1ba3cfb1b59331aeefe47e5fdfe65e9,73a63f72308aa20a46f4b1632018f196,2018-03-27 10:10:25,171.00,26.49
0ff01ca1108c8fea3d74a51ee283841e,1,ecbe1ef7e2903ff8b1d704ba78fa264d,c3cfdc648177fdbbbb35635a37472c53,2018-03-14 02:29:22,89.10,27.35
100db0fb5000a9f02f0d3ee2470c85c1,1,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-03-22 09:08:01,53.90,13.46
100db0fb5000a9f02f0d3ee2470c85c1,2,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-03-22 09:08:01,53.90,13.46
1011743f27a84fef8503f748cb1d951e,1,c3602326cc2e91dc18ad2ae9a575b5e7,c3e1abd72a42fe690fcd89cf5720fe29,2018-07-27 13:44:13,129.97,8.17
1032cdde705c24776a43441b77855fe6,1,1d0b9497ac4f258fbd822c52ff61b5f4,1900267e848ceeba8fa32d80c1a5f5a8,2017-11-30 21:55:56,30.00,6.62
1032cdde705c24776a43441b77855fe6,2,fb2f2ec90b4ee90ad257bbf89d01247e,1835b56ce799e6a4dc4eddc053f04066,2017-11-30 21:55:56,39.99,33.08
1032cdde705c24776a43441b77855fe6,3,1d0b9497ac4f258fbd822c52ff61b5f4,1900267e848ceeba8fa32d80c1a5f5a8,2017-11-30 21:55:56,30.00,6.62
1046a71a57b33b4a92f9f932237f1ab0,1,c5c66926b3f964b8cf9e7dfb1150d13e,921323538c9f1c4e816f2720eac02bea,2018-08-06 14:05:11,25.99,18.28
104b8d0ca41aec23f0847323c4cb8177,1,8392bd9333d10e51a2c2fc4596ee12a5,f8d5c7085db9a4ad2b8c1ffbeb2798c8,2018-02-09 20:10:49,30.00,25.63
1053f48dab84166419bcecff0003c7b9,1,d8a77723111124b921fd73b3914e8cbb,0241d4d5d36f10f80c644447315af0bd,2018-03-15 19:48:15,39.90,29.38
10856b02e17c5d56a06c2ee75079d338,1,82e4ad16521ca131d95e198d507db370,128639473a139ac0f3e5f5ade55873a5,2018-01-04 23:11:26,18.90,12.48
109294a0d68947b6b49c0a59a8f951cd,1,f83c9874b5b5044ea58fef1be68c1ea8,2e90cb1677d35cfe24eef47d441b7c87,2018-06-15 10:19:24,139.40,36.28
109f6898323e99a194948043ea99cdd8,1,acde6bd0b5f91190e2a123df389b0b47,36a968b544695394e4e9d7572688598f,2017-06-09 14:42:08,24.90,8.27
109ff01cec6b68a8e70ed431552b9be0,1,83b00325c13c44245b2c3a2befa62a0e,ad781527c93d00d89a11eecd9dcad7c1,2017-10-06 20:35:22,159.99,103.25
10be01428d12ec7ed39d0058c3e224f7,1,2d0756de18a80990e11ec355070dd85a,76d5af76d0271110f9af36c92573f765,2017-09-24 22:30:12,658.90,31.16
10c2b05e3b425d09cb2a1fa7f08d701f,1,7fe486a60125c1541517e30944f95066,4917cee8d902e13428c3ec4b1ca6f315,2018-03-05 19:26:25,199.00,26.23
110e1980401cf18f27590b4023ff5e32,1,43e09fcb6175856e87a4d9b91321addb,9d4db00d65d7760644ac0c14edb5fd86,2018-06-08 18:12:51,226.99,19.50
11200294ab90161f54f7effdea8d9466,1,42a2bd596fda1baef5719cb74f73030c,da8622b14eb17ae2831f4ac5b9dab84a,2017-09-29 12:37:58,89.90,13.65
113e0c165fdf93f9e1017dae01292548,1,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018-04-06 16:31:52,59.99,8.88
1149d72adba9246665c80103bd7011c5,1,1aec9dac073154a4d6350ad0e773a191,d12c926d74ceff0a90a21184466ce161,2017-08-02 23:03:37,29.90,21.15
1166012db74ae7b2b443c002e1c0c019,1,9077a120c5f0a94bf904d737b07e116f,da8622b14eb17ae2831f4ac5b9dab84a,2018-05-17 20:30:45,349.90,17.01
1166ac5af4262300b61e079c496223c6,1,e0d64dcfaa3b6db5c54ca298ae101d05,4869f7a5dfa277a7dca6462dcf3b52b2,2018-08-17 20:55:23,145.00,19.12
